mode,endpoint_u,endpoint_v,link_load
LEO-only,654,688,826
LEO-only,620,654,718
LEO-only,688,722,590
LEO-only,586,620,500
LEO-only,8,42,492
LEO-only,8,1130,492
LEO-only,722,756,436
LEO-only,617,618,426
LEO-only,618,619,426
LEO-only,619,620,426
LEO-only,585,586,422
LEO-only,584,585,422
LEO-only,1094,1095,418
LEO-only,46,47,418
LEO-only,1095,1096,402
LEO-only,651,652,398
LEO-only,652,653,398
LEO-only,653,654,398
LEO-only,583,584,380
LEO-only,756,790,364
LEO-only,616,617,364
LEO-only,650,651,354
LEO-only,1096,1130,348
LEO-only,45,46,346
LEO-only,42,76,330
LEO-only,514,548,328
LEO-only,547,581,328
LEO-only,44,45,318
LEO-only,654,655,310
LEO-only,655,656,310
LEO-only,656,657,310
LEO-only,204,205,308
LEO-only,648,649,306
LEO-only,649,650,300
LEO-only,548,582,300
LEO-only,205,206,298
LEO-only,206,207,292
LEO-only,657,658,290
LEO-only,692,693,288
LEO-only,43,44,288
