mode,endpoint_u,endpoint_v,link_load
Multilayer,584,1175,367
Multilayer,1174,1175,345
Multilayer,1175,1176,323
Multilayer,1157,1187,317
Multilayer,1157,1158,254
Multilayer,204,1162,244
Multilayer,1162,1163,232
Multilayer,618,1175,202
Multilayer,6,1157,185
Multilayer,1175,1181,178
Multilayer,758,1175,157
Multilayer,1162,1168,156
Multilayer,1167,1173,154
Multilayer,1178,1179,152
Multilayer,1026,1187,135
Multilayer,759,1175,133
Multilayer,657,1175,125
Multilayer,1187,1188,119
Multilayer,791,1181,119
Multilayer,1162,1167,117
Multilayer,724,1175,114
Multilayer,46,1158,113
Multilayer,1168,1173,112
Multilayer,1164,1170,112
Multilayer,1174,1179,105
Multilayer,1094,1187,102
Multilayer,1156,1157,101
Multilayer,1170,1176,99
Multilayer,585,1175,96
Multilayer,408,1168,93
Multilayer,1129,1187,89
Multilayer,658,1176,85
Multilayer,413,447,83
Multilayer,657,658,82
Multilayer,113,1157,81
Multilayer,617,1174,79
Multilayer,657,1197,77
Multilayer,218,1164,76
Multilayer,12,1158,71
Multilayer,180,181,70
