run_name,experiment,scenario_type,distance_tier,from_id,to_id,avg_throughput_mbps,avg_rtt_ms,rtt_variation_ms,rtt_variation_ratio,geodesic_rtt_ms,rtt_stretch,completion_time_s,transfer_complete,bytes_transferred_final,leo_leo_isl_max_util,leo_leo_isl_mean_util_nz,meo_touching_isl_max_util,meo_meo_isl_max_util,meo_touching_isl_mean_util_nz,meo_meo_isl_mean_util_nz,meo_used_any,out_of_order_rate,error,avg_hop_count,avg_path_stretch,path_stability_ratio,bottleneck_utilization,meo_usage_ratio,path_change_count,hop_count_variation,hop_count_ratio
example3_distance_long_1210_to_1265_tcp,3,distance_tier,long,1210,1265,4.069344,355.6267123546619,114.031068,1.3620033904761906,315.0,1.1289736900147997,,False,2543340.0,0.0,,0.990073,0.0,0.26152555,,True,,,3.0,1.0,1.0,0.863841,0.3333333333333333,0.0,0.0,1.0
example3_distance_medium_1206_to_1288_tcp,3,distance_tier,medium,1206,1288,8.944608,128.17708912506635,171.453287,6.042743735294117,34.0,3.7699143860313633,,False,5590380.0,0.0,,0.0,0.0,,,False,,,1.0,1.0,1.0,,0.0,0.0,0.0,1.0
example3_distance_short_1209_to_1277_tcp,3,distance_tier,short,1209,1277,9.079296,119.14721587545395,167.148874,9.357443700000001,20.0,5.957360793772698,,False,5674560.0,0.0,,0.0,0.0,,,False,,,1.0,1.0,1.0,,0.0,0.0,0.0,1.0
leo_only_1156_to_1168_pings,1,leo_only,,1156,1168,,,,,,,,False,,3.3e-05,2.4655462184873964e-05,0.0,0.0,,,False,29.2,,,,,,,,,
leo_only_1156_to_1168_tcp,1,leo_only,,1156,1168,5.126976,184.83688399883303,130.626778,1.9071304027777778,144.0,1.2835894722141183,,False,3204360.0,0.851939,0.2712836526946109,0.0,0.0,,,False,,,16.0,1.0,0.8,0.45545416666666666,0.0,1.0,0.0,1.0
leo_only_1160_to_1185_pings,1,leo_only,,1160,1185,,,,,,,,False,,3.3e-05,3.1918032786885255e-05,0.0,0.0,,,False,28.0,,,,,,,,,
leo_only_1160_to_1185_tcp,1,leo_only,,1160,1185,5.131392,181.24524459001185,128.63271500000002,1.9058641901408453,142.0,1.276374961901492,,False,3207120.0,0.884215,0.30191343333333354,0.0,0.0,,,False,,,16.0,1.0,1.0,0.542423,0.0,0.0,0.0,1.0
leo_only_1185_to_1167_pings,1,leo_only,,1185,1167,,,,,,,,False,,3.3e-05,3.201639344262297e-05,0.0,0.0,,,False,26.8,,,,,,,,,
leo_only_1185_to_1167_tcp,1,leo_only,,1185,1167,5.27712,172.3167059258031,127.13624099999998,1.934825301470588,136.0,1.267034602395611,,False,3298200.0,0.886371,0.3085391285714287,0.0,0.0,,,False,,,15.0,1.0,1.0,0.572003,0.0,0.0,0.0,1.0
multilayer_1192_to_1204_pings,1,multilayer,,1192,1204,,,,,,,,False,,0.0,,3.3e-05,3.3e-05,2.8312499999999997e-05,2.8375e-05,True,129.6,,,,,,,,,
multilayer_1192_to_1204_tcp,1,multilayer,,1192,1204,0.48576,667.7310877345132,40.920191000000045,1.0631484429012346,648.0,1.0304492094668414,,False,303600.0,0.0,,0.230587,0.230587,0.04107831578947367,0.04167931578947368,True,,,5.0,1.0,1.0,0.172554,0.6,0.0,0.0,1.0
multilayer_1196_to_1221_pings,1,multilayer,,1196,1221,,,,,,,,False,,0.0,,3.3e-05,3.3e-05,2.94375e-05,2.9333333333333333e-05,True,119.0,,,,,,,,,
multilayer_1196_to_1221_tcp,1,multilayer,,1196,1221,0.704352,617.8584108957056,43.42136900000003,1.0729770907563025,595.0,1.0384174973037068,,False,440220.0,0.0,,0.308597,0.240105,0.05359417142857142,0.060333533333333335,True,,,5.0,1.0,1.0,0.157166,0.6,0.0,0.0,1.0
multilayer_1221_to_1203_pings,1,multilayer,,1221,1203,,,,,,,,False,,3.3e-05,2.85e-05,3.3e-05,3.3e-05,2.925e-05,2.8333333333333335e-05,True,119.2,,,,,,,,,
