Configure run and logs directory,256897
Configure simulator,3194216
Setup TCP parameters,246378
Create initial single forwarding state,11863362175
Setup routing arbiter on each node,29322751351
Create initial single forwarding state,1931419366
Set first GSL interface bandwidth,22972556
Read flow schedule,7293963
Remove previous flow log files,60024
Setup TCP flow sinks,25025332
Setup traffic TCP flow starter,1966782
Whatever is between previous timestamp and the simulation run,217353
Run simulation,97855319991
Write TCP flow log files,1701004
Destroy simulator,489590009
