Configure run and logs directory,572760
Configure simulator,6123332
Setup TCP parameters,720651
Create initial single forwarding state,17146021449
Setup routing arbiter on each node,43821981132
Create initial single forwarding state,2442215980
Set first GSL interface bandwidth,17495543
Read flow schedule,8272875
Remove previous flow log files,382697
Setup TCP flow sinks,31166608
Setup traffic TCP flow starter,1942101
Whatever is between previous timestamp and the simulation run,99569
Run simulation,42129942910
Write TCP flow log files,301051
Destroy simulator,651562439
