Configure run and logs directory,3320229
Configure simulator,2106158
Setup TCP parameters,449185
Create initial single forwarding state,18813144899
Setup routing arbiter on each node,42747371757
Create initial single forwarding state,2026725399
Set first GSL interface bandwidth,15703226
Read flow schedule,8823312
Remove previous flow log files,422804
Setup TCP flow sinks,19494267
Setup traffic TCP flow starter,2553584
Whatever is between previous timestamp and the simulation run,224216
Run simulation,41468835223
Write TCP flow log files,4539283
Destroy simulator,502074543
