Configure run and logs directory,811256
Configure simulator,3407292
Setup TCP parameters,425516
Create initial single forwarding state,14656556729
Setup routing arbiter on each node,28102554929
Create initial single forwarding state,2058806034
Set first GSL interface bandwidth,19175194
Determined pingmesh pairs,1134323
Remove previous pingmesh log files,2220533
Setup pingmesh servers,17771350
Setup pingmesh clients,788557
Whatever is between previous timestamp and the simulation run,648445
Run simulation,391802604647
Write pingmesh log files,91275290
Destroy simulator,461956592
